invoice_id,user_id,plan_id,plan_amount,amount,user_amount,trans_id,location,discount,method,description,device_type,device_id,status,created_date,last_update,app_id,object_id,client
4485117,2024448,626,750,750,0,1570754287-2024448,othe,0,direct,"Gói K+",smarttv-sony-android,60857ba43c0f42c2,1,"2019-10-11 07:38:15","2019-10-11 07:38:15",APP001,,
4485116,2024448,1328,900,900,0,1570754116-2024448,othe,0,direct,"Gói HBO GO",smarttv-sony-android,60857ba43c0f42c2,1,"2019-10-11 07:36:45","2019-10-11 07:36:45",APP001,,
4485115,10108288,640,100,100,0,1570711715-10108288,othe,0,direct,"Gói Giải Trí",web-playfpt,unknow,1,"2019-10-10 19:48:48","2019-10-10 19:48:48",APP001,,
4485106,2024448,1730,67,67,0,1000000577668457,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 18:02:31","2019-10-10 18:02:31",APP001,,
4485105,2024448,1730,67,67,0,1000000577663254,othe,0,direct,"Gói Kênh trả phí",ios,9333A89F-9C21-4C4E-816E-BE08B1F15E13,1,"2019-10-10 17:37:49","2019-10-10 17:37:49",APP001,,
4485102,2024448,1731,67,67,0,1000000577638871,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 17:01:37","2019-10-10 17:01:37",APP001,,
4485101,11720720,1114,0,0,0,1570701682-2-11720720,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 17:01:22","2019-10-10 17:01:22",APP001,,
4485100,11720720,1560,0,0,0,1570701682-1-11720720,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 17:01:22","2019-10-10 17:01:22",APP001,,
4485099,11720720,1113,0,0,0,1570701682-0-11720720,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 17:01:22","2019-10-10 17:01:22",APP001,,
4485098,11720720,18164,375,0,0,1570701682-11720720,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,ICCZHKU766LU3,1,"2019-10-10 17:01:22","2019-10-10 17:01:22",APP001,,
4485097,2024448,1731,67,67,0,1000000577631323,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 16:52:38","2019-10-10 16:52:38",APP001,,
4485096,2024448,1731,67,67,0,1000000577627133,othe,0,direct,"Gói Phim Đặc Sắc",ios,9333A89F-9C21-4C4E-816E-BE08B1F15E13,1,"2019-10-10 16:45:32","2019-10-10 16:45:32",APP001,,
4485095,11720720,1114,0,0,0,1570700712-2-11720720,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 16:45:12","2019-10-10 16:45:12",APP001,,
4485094,11720720,1560,0,0,0,1570700712-1-11720720,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 16:45:12","2019-10-10 16:45:12",APP001,,
4485093,11720720,1113,0,0,0,1570700711-0-11720720,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 16:45:11","2019-10-10 16:45:11",APP001,,
4485092,11720720,18164,375,0,0,1570700711-11720720,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,ICCZHKU766LU3,1,"2019-10-10 16:45:11","2019-10-10 16:45:11",APP001,,
4485091,11720720,1114,0,0,0,1570700170-2-11720720,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 16:36:10","2019-10-10 16:36:10",APP001,,
4485090,11720720,1560,0,0,0,1570700170-1-11720720,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 16:36:10","2019-10-10 16:36:10",APP001,,
4485089,11720720,1113,0,0,0,1570700170-0-11720720,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 16:36:10","2019-10-10 16:36:10",APP001,,
4485088,11720720,18164,375,0,0,1570700170-11720720,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,ICCZHKU766LU3,1,"2019-10-10 16:36:10","2019-10-10 16:36:10",APP001,,
4485086,11720720,1114,0,0,0,1570698333-2-11720720,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 16:05:33","2019-10-10 16:05:33",APP001,,
4485085,11720720,1560,0,0,0,1570698333-1-11720720,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 16:05:33","2019-10-10 16:05:33",APP001,,
4485084,11720720,1113,0,0,0,1570698333-0-11720720,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 16:05:33","2019-10-10 16:05:33",APP001,,
4485083,11720720,18164,375,0,0,1570698333-11720720,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,ICCZHKU766LU3,1,"2019-10-10 16:05:33","2019-10-10 16:05:33",APP001,,
4485074,10108288,640,100,100,0,1570680729-10108288,othe,0,direct,"Gói Giải Trí",web-playfpt,unknow,1,"2019-10-10 11:12:28","2019-10-10 11:12:28",APP001,,
4485070,11720720,1114,0,0,0,1570678632-2-11720720,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 10:37:12","2019-10-10 10:37:12",APP001,,
4485069,11720720,1560,0,0,0,1570678632-1-11720720,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 10:37:12","2019-10-10 10:37:12",APP001,,
4485068,11720720,1113,0,0,0,1570678632-0-11720720,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 10:37:12","2019-10-10 10:37:12",APP001,,
4485067,11720720,18164,375,0,0,1570678632-11720720,vn,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen-2014,ICCZHKU766LU3,1,"2019-10-10 10:37:12","2019-10-10 10:37:12",APP001,,
4485064,1126,1114,0,0,0,1570677907-2-1126,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 10:25:07","2019-10-10 10:25:07",APP001,,
4485063,1126,1560,0,0,0,1570677907-1-1126,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 10:25:07","2019-10-10 10:25:07",APP001,,
4485062,1126,1113,0,0,0,1570677906-0-1126,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 10:25:06","2019-10-10 10:25:06",APP001,,
4485061,1126,18164,375,0,0,1570677906-1126,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455667,1,"2019-10-10 10:25:06","2019-10-10 10:25:06",APP001,,
4485060,5131249,1730,67,67,0,1000000577461063,othe,0,direct,"Gói Kênh trả phí",ios,9333A89F-9C21-4C4E-816E-BE08B1F15E13,1,"2019-10-10 10:16:42","2019-10-10 10:16:42",APP001,,
4485059,5131249,1730,67,67,0,1000000577458647,othe,0,direct,"Gói Kênh trả phí",ios,9333A89F-9C21-4C4E-816E-BE08B1F15E13,1,"2019-10-10 10:10:10","2019-10-10 10:10:10",APP001,,
4485058,1125,1114,0,0,0,1570676420-2-1125,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 10:00:20","2019-10-10 10:00:20",APP001,,
4485057,1125,1560,0,0,0,1570676420-1-1125,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 10:00:20","2019-10-10 10:00:20",APP001,,
4485056,1125,1113,0,0,0,1570676420-0-1125,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 10:00:20","2019-10-10 10:00:20",APP001,,
4485055,1125,18164,375,0,0,1570676420-1125,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455666,1,"2019-10-10 10:00:20","2019-10-10 10:00:20",APP001,,
4485054,1124,1114,0,0,0,1570675348-2-1124,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 09:42:28","2019-10-10 09:42:28",APP001,,
4485053,1124,1560,0,0,0,1570675348-1-1124,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 09:42:28","2019-10-10 09:42:28",APP001,,
4485052,1124,1113,0,0,0,1570675348-0-1124,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 09:42:28","2019-10-10 09:42:28",APP001,,
4485051,1124,18164,375,0,0,1570675348-1124,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455664,1,"2019-10-10 09:42:28","2019-10-10 09:42:28",APP001,,
4485050,1123,1114,0,0,0,1570675270-2-1123,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 09:41:10","2019-10-10 09:41:10",APP001,,
4485049,1123,1560,0,0,0,1570675270-1-1123,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 09:41:10","2019-10-10 09:41:10",APP001,,
4485048,1123,1113,0,0,0,1570675270-0-1123,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 09:41:10","2019-10-10 09:41:10",APP001,,
4485047,1123,18164,375,0,0,1570675270-1123,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455663,1,"2019-10-10 09:41:10","2019-10-10 09:41:10",APP001,,
4485046,1123,1114,0,0,0,1570675265-2-1123,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 09:41:05","2019-10-10 09:41:05",APP001,,
4485045,1123,1560,0,0,0,1570675265-1-1123,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 09:41:05","2019-10-10 09:41:05",APP001,,
4485044,1123,1113,0,0,0,1570675265-0-1123,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 09:41:05","2019-10-10 09:41:05",APP001,,
4485043,1123,18164,375,0,0,1570675265-1123,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455663,1,"2019-10-10 09:41:05","2019-10-10 09:41:05",APP001,,
4485042,1122,1114,0,0,0,1570674400-2-1122,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 09:26:40","2019-10-10 09:26:40",APP001,,
4485041,1122,1560,0,0,0,1570674400-1-1122,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 09:26:40","2019-10-10 09:26:40",APP001,,
4485040,1122,1113,0,0,0,1570674399-0-1122,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 09:26:39","2019-10-10 09:26:39",APP001,,
4485039,1122,18164,375,0,0,1570674399-1122,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455662,1,"2019-10-10 09:26:39","2019-10-10 09:26:39",APP001,,
4485038,1122,1114,0,0,0,1570674095-2-1122,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 09:21:35","2019-10-10 09:21:35",APP001,,
4485037,1122,1560,0,0,0,1570674095-1-1122,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 09:21:35","2019-10-10 09:21:35",APP001,,
4485036,1122,1113,0,0,0,1570674095-0-1122,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 09:21:35","2019-10-10 09:21:35",APP001,,
4485035,1122,18164,375,0,0,1570674095-1122,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455662,1,"2019-10-10 09:21:35","2019-10-10 09:21:35",APP001,,
4485034,1122,1114,0,0,0,1570673637-2-1122,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 09:13:57","2019-10-10 09:13:57",APP001,,
4485033,1122,1560,0,0,0,1570673637-1-1122,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 09:13:57","2019-10-10 09:13:57",APP001,,
4485032,1122,1113,0,0,0,1570673637-0-1122,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 09:13:57","2019-10-10 09:13:57",APP001,,
4485031,1122,18164,375,0,0,1570673637-1122,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455662,1,"2019-10-10 09:13:57","2019-10-10 09:13:57",APP001,,
4485030,1122,1114,0,0,0,1570673613-2-1122,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 09:13:33","2019-10-10 09:13:33",APP001,,
4485029,1122,1560,0,0,0,1570673613-1-1122,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 09:13:33","2019-10-10 09:13:33",APP001,,
4485028,1122,1113,0,0,0,1570673613-0-1122,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 09:13:33","2019-10-10 09:13:33",APP001,,
4485027,1122,18164,375,0,0,1570673613-1122,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455662,1,"2019-10-10 09:13:33","2019-10-10 09:13:33",APP001,,
4485026,1122,1114,0,0,0,1570673426-2-1122,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 09:10:26","2019-10-10 09:10:26",APP001,,
4485025,1122,1560,0,0,0,1570673426-1-1122,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 09:10:26","2019-10-10 09:10:26",APP001,,
4485024,1122,1113,0,0,0,1570673426-0-1122,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 09:10:26","2019-10-10 09:10:26",APP001,,
4485023,1122,18164,375,0,0,1570673426-1122,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455662,1,"2019-10-10 09:10:26","2019-10-10 09:10:26",APP001,,
4485022,1122,1114,0,0,0,1570673384-2-1122,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 09:09:44","2019-10-10 09:09:44",APP001,,
4485021,1122,1560,0,0,0,1570673384-1-1122,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 09:09:44","2019-10-10 09:09:44",APP001,,
4485020,1122,1113,0,0,0,1570673383-0-1122,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 09:09:43","2019-10-10 09:09:43",APP001,,
4485019,1122,18164,375,0,0,1570673383-1122,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455662,1,"2019-10-10 09:09:43","2019-10-10 09:09:43",APP001,,
4485018,1122,1114,0,0,0,1570673254-2-1122,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 09:07:34","2019-10-10 09:07:34",APP001,,
4485017,1122,1560,0,0,0,1570673254-1-1122,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 09:07:34","2019-10-10 09:07:34",APP001,,
4485016,1122,1113,0,0,0,1570673254-0-1122,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 09:07:34","2019-10-10 09:07:34",APP001,,
4485015,1122,18164,375,0,0,1570673254-1122,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455662,1,"2019-10-10 09:07:34","2019-10-10 09:07:34",APP001,,
4485014,2,1114,0,0,0,1570672973-2-2,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-10 09:02:53","2019-10-10 09:02:53",APP001,,
4485013,2,1560,0,0,0,1570672972-1-2,othe,0,direct,"Gói HBO GO",,,1,"2019-10-10 09:02:52","2019-10-10 09:02:52",APP001,,
4485012,2,1113,0,0,0,1570672972-0-2,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-10 09:02:52","2019-10-10 09:02:52",APP001,,
4485011,2,18164,375,0,0,1570672972-2,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455662,1,"2019-10-10 09:02:52","2019-10-10 09:02:52",APP001,,
4485009,5131249,1730,67,67,0,1000000577111776,othe,0,direct,"Gói Kênh trả phí",ios,9333A89F-9C21-4C4E-816E-BE08B1F15E13,1,"2019-10-09 16:03:37","2019-10-09 16:03:37",APP001,,
4485003,11720720,1114,0,0,0,1570607497-2-11720720,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-09 14:51:37","2019-10-09 14:51:37",APP001,,
4485002,11720720,1560,0,0,0,1570607496-1-11720720,othe,0,direct,"Gói HBO GO",,,1,"2019-10-09 14:51:36","2019-10-09 14:51:36",APP001,,
4485001,11720720,1113,0,0,0,1570607496-0-11720720,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-09 14:51:36","2019-10-09 14:51:36",APP001,,
4485000,11720720,18164,375,0,0,1570607496-11720720,vn,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen-2014,ICCZHKU766LU3,1,"2019-10-09 14:51:36","2019-10-09 14:51:36",APP001,,
4484999,7515629,1731,67,67,0,1000000577066951,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-09 14:45:40","2019-10-09 14:45:40",APP001,,
4484994,11720720,1114,0,0,0,1570605127-2-11720720,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-09 14:12:07","2019-10-09 14:12:07",APP001,,
4484993,11720720,1560,0,0,0,1570605127-1-11720720,othe,0,direct,"Gói HBO GO",,,1,"2019-10-09 14:12:07","2019-10-09 14:12:07",APP001,,
4484992,11720720,1113,0,0,0,1570605127-0-11720720,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-09 14:12:07","2019-10-09 14:12:07",APP001,,
4484991,11720720,18164,375,0,0,1570605127-11720720,vn,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,D8FA5650206D6A2A,1,"2019-10-09 14:12:07","2019-10-09 14:12:07",APP001,,
4484990,7515629,1730,67,67,0,1000000577048962,othe,0,direct,"Gói Kênh trả phí",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-09 14:06:22","2019-10-09 14:06:22",APP001,,
4484989,7515629,1731,67,67,0,1000000577048374,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-09 14:05:26","2019-10-09 14:05:26",APP001,,
4484988,4,1114,0,0,0,1570604521-2-4,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-09 14:02:01","2019-10-09 14:02:01",APP001,,
4484987,4,1560,0,0,0,1570604521-1-4,othe,0,direct,"Gói HBO GO",,,1,"2019-10-09 14:02:01","2019-10-09 14:02:01",APP001,,
4484986,4,1113,0,0,0,1570604521-0-4,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-09 14:02:01","2019-10-09 14:02:01",APP001,,
4484985,4,18164,375,0,0,1570604521-4,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455662,1,"2019-10-09 14:02:01","2019-10-09 14:02:01",APP001,,
4484984,3,1114,0,0,0,1570604477-2-3,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-09 14:01:17","2019-10-09 14:01:17",APP001,,
4484983,3,1560,0,0,0,1570604477-1-3,othe,0,direct,"Gói HBO GO",,,1,"2019-10-09 14:01:17","2019-10-09 14:01:17",APP001,,
4484982,3,1113,0,0,0,1570604477-0-3,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-09 14:01:17","2019-10-09 14:01:17",APP001,,
4484981,3,18164,375,0,0,1570604477-3,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455662,1,"2019-10-09 14:01:17","2019-10-09 14:01:17",APP001,,
4484980,11720720,1114,0,0,0,1570602882-2-11720720,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-09 13:34:42","2019-10-09 13:34:42",APP001,,
4484979,11720720,1560,0,0,0,1570602882-1-11720720,othe,0,direct,"Gói HBO GO",,,1,"2019-10-09 13:34:42","2019-10-09 13:34:42",APP001,,
4484978,11720720,1113,0,0,0,1570602882-0-11720720,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-09 13:34:42","2019-10-09 13:34:42",APP001,,
4484977,11720720,18164,375,0,0,1570602882-11720720,vn,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,06A67E9D2D36F914,1,"2019-10-09 13:34:42","2019-10-09 13:34:42",APP001,,
4484954,7515629,1730,67,67,0,1000000576968740,othe,0,direct,"Gói Kênh trả phí",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-09 09:37:06","2019-10-09 09:37:06",APP001,,
4484936,7515629,1731,67,67,0,1000000576963534,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-09 09:19:24","2019-10-09 09:19:24",APP001,,
4484907,7515629,1738,199,199,0,1000000576839535,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 22:18:14","2019-10-08 22:18:14",APP001,,
4484906,7515629,1731,67,67,0,1000000576838466,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 22:12:07","2019-10-08 22:12:07",APP001,,
4484894,9268715,1731,67,67,0,1000000576720816,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 17:21:41","2019-10-08 17:21:41",APP001,,
4484893,9268715,1731,67,67,0,1000000576717348,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 17:19:29","2019-10-08 17:19:29",APP001,,
4484892,9268715,1731,67,67,0,1000000576718756,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 17:18:08","2019-10-08 17:18:08",APP001,,
4484891,9268715,1730,67,67,0,1000000576709195,othe,0,direct,"Gói Kênh trả phí",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 17:02:06","2019-10-08 17:02:06",APP001,,
4484888,9268715,1731,67,67,0,1000000576703839,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 16:51:18","2019-10-08 16:51:18",APP001,,
4484887,9268715,1731,67,67,0,1000000576702263,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 16:48:43","2019-10-08 16:48:43",APP001,,
4484886,9268715,1731,67,67,0,1000000576699055,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 16:42:28","2019-10-08 16:42:28",APP001,,
4484885,9268715,1731,67,67,0,1000000576693667,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 16:32:17","2019-10-08 16:32:17",APP001,,
4484884,9268715,1731,67,67,0,1000000576680440,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 16:09:51","2019-10-08 16:09:51",APP001,,
4484882,9268715,1731,67,67,0,1000000576673651,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 15:58:25","2019-10-08 15:58:25",APP001,,
4484812,202281,1738,199,199,0,1000000576634964,othe,0,direct,"Gói Phim Đặc Sắc",ios,EF81EAEF-35DB-491D-BCC5-816277F2DEF2,1,"2019-10-08 14:48:47","2019-10-08 14:48:47",APP001,,
4484748,9268715,1731,67,67,0,1000000576611989,othe,0,direct,"Gói Phim Đặc Sắc",ios,5761656B-0940-4C84-B7E4-8AB7CC8B011F,1,"2019-10-08 13:46:16","2019-10-08 13:46:16",APP001,,
4484746,202281,1736,389,389,0,1000000576609511,othe,0,direct,"Gói Kênh trả phí",ios,EF81EAEF-35DB-491D-BCC5-816277F2DEF2,1,"2019-10-08 13:38:06","2019-10-08 13:38:06",APP001,,
4484745,202281,1738,199,199,0,1000000576609304,othe,0,direct,"Gói Phim Đặc Sắc",ios,EF81EAEF-35DB-491D-BCC5-816277F2DEF2,1,"2019-10-08 13:36:49","2019-10-08 13:36:49",APP001,,
4484713,2,18164,375,0,0,1570498540-2,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455660,1,"2019-10-08 08:35:40","2019-10-08 08:35:40",APP001,,
4484710,1,1560,230,230,0,1570437836--1,othe,0,direct,"Gói HBO GO",,,1,"2019-10-07 15:43:56","2019-10-07 15:43:56",APP001,,
4484709,1,18164,375,0,0,1570437836-1,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455666,1,"2019-10-07 15:43:56","2019-10-07 15:43:56",APP001,,
4484704,113,18164,375,0,0,1570434149-113,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455664,1,"2019-10-07 14:42:29","2019-10-07 14:42:29",APP001,,
4484703,112,18164,375,0,0,1570433071-112,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455663,1,"2019-10-07 14:24:31","2019-10-07 14:24:31",APP001,,
4484702,112,18164,375,0,0,1570432758-112,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,1122334455661,1,"2019-10-07 14:19:18","2019-10-07 14:19:18",APP001,,
